                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1911,                 0.6635,                0.80939,                0.83591,                0.59828,                0.62101,                0.38961,                 1.1361,                0.62078,                0.81651,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.2023,                0.65954,                0.80982,                0.83346,                 0.5774,                0.61518,                0.39373,                 1.0943,                0.62296,                0.81363,               0.000557,               0.000557,               0.000557
                     58,                  1.189,                0.65526,                0.80568,                0.84662,                0.55426,                0.60308,                0.38547,                 1.0904,                0.60882,                0.81511,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.1546,                0.63435,                0.80981,                0.85732,                0.54481,                0.63972,                0.40656,                 1.0856,                0.59689,                 0.8138,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1791,                0.65084,                 0.8135,                0.80845,                 0.6397,                0.64091,                0.40401,                 1.1028,                0.59866,                0.81536,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.2003,                0.66221,                0.81019,                0.82002,                0.58998,                0.64025,                0.39486,                 1.1161,                0.60763,                  0.816,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.1833,                0.64905,                0.80455,                0.87088,                0.54649,                0.63603,                0.39609,                 1.1128,                0.59699,                0.81451,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1811,                0.63609,                0.80909,                0.86406,                0.55839,                0.62459,                0.39368,                 1.1365,                 0.6094,                 0.8189,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1385,                0.61938,                0.80891,                0.82289,                0.59733,                0.63119,                0.40434,                 1.0841,                0.59107,                 0.8147,             0.00047038,             0.00047038,             0.00047038
                     65,                  1.163,                0.63532,                 0.8088,                0.85523,                0.59227,                0.62472,                0.39223,                  1.097,                0.60466,                0.81369,               0.000458,               0.000458,               0.000458
                     66,                 1.1884,                0.63653,                0.81141,                0.85953,                0.56151,                0.61582,                 0.3889,                 1.1035,                0.60945,                 0.8147,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.1768,                0.63609,                0.81101,                0.83645,                0.59716,                0.62037,                0.38586,                 1.1171,                0.59917,                0.81419,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.1378,                0.62344,                0.81153,                0.80853,                0.61143,                0.63585,                0.41641,                 1.0779,                0.57497,                0.81482,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.1697,                 0.6307,                0.80842,                0.82469,                0.57555,                0.61618,                0.40346,                 1.0685,                0.57732,                 0.8129,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.1393,                0.61112,                0.80574,                0.81194,                 0.5754,                0.60807,                0.39626,                 1.0707,                0.57893,                0.81256,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.1328,                0.61618,                0.80494,                 0.8275,                0.62072,                 0.6391,                0.41555,                 1.0707,                 0.5784,                0.81292,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.1227,                0.59571,                0.80591,                0.86582,                0.60024,                0.65008,                 0.4223,                 1.0691,                0.56028,                0.81311,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.1291,                0.60034,                0.80439,                0.83639,                0.59228,                0.64473,                0.41247,                 1.0763,                0.55911,                0.81308,               0.000359,               0.000359,               0.000359
                     74,                 1.1201,                0.59581,                0.80265,                0.83631,                 0.5874,                 0.6334,                0.40448,                 1.0716,                0.55816,                0.81307,             0.00034663,             0.00034663,             0.00034663
                     75,                   1.09,                0.58206,                0.80738,                0.86478,                0.58774,                0.63284,                0.41216,                 1.0727,                0.57068,                0.81295,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.1271,                0.60944,                 0.8046,                 0.8601,                 0.5553,                0.61664,                0.38564,                 1.1006,                0.58131,                0.81412,             0.00032188,             0.00032188,             0.00032188
                     77,                  1.133,                0.60802,                0.80444,                0.84031,                0.55529,                0.58998,                 0.3736,                 1.0858,                0.58168,                0.81167,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.1171,                0.59817,                0.80354,                0.90346,                0.51339,                0.61101,                0.38606,                 1.0594,                0.57599,                0.81115,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0991,                0.59875,                 0.8058,                0.81719,                0.59996,                0.63875,                0.40866,                 1.0636,                0.59059,                0.81059,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.1267,                0.60992,                0.80404,                 0.8633,                0.60281,                0.64933,                0.42516,                 1.0558,                0.55863,                0.81048,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.1119,                0.59456,                0.80229,                 0.8804,                0.57474,                0.64352,                0.41901,                 1.0563,                 0.5542,                0.81025,                0.00026,                0.00026,                0.00026
                     82,                 1.1014,                0.58612,                0.80216,                 0.8981,                0.56775,                0.63809,                 0.4166,                 1.0594,                0.56228,                0.81034,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.1228,                0.59154,                0.80649,                0.88549,                0.57732,                0.64107,                0.41975,                 1.0466,                0.55342,                0.81092,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0728,                0.57277,                0.80348,                0.87629,                0.60499,                0.65617,                0.42048,                 1.0543,                0.55028,                0.81187,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.1169,                0.58477,                 0.8048,                0.84395,                0.63476,                0.65946,                0.42556,                 1.0537,                0.55854,                 0.8115,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.0556,                0.56136,                0.80769,                0.85393,                0.61384,                0.65331,                0.42199,                 1.0443,                0.55557,                0.81097,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.0832,                0.56843,                0.80376,                0.84971,                0.60093,                0.64349,                0.42333,                 1.0423,                0.55591,                0.81097,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.0764,                0.57092,                 0.8027,                0.85957,                0.58944,                0.64277,                0.41397,                 1.0598,                0.55929,                0.81006,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.0525,                0.56205,                0.80179,                0.84415,                0.60877,                0.63538,                0.40972,                 1.0466,                0.54434,                0.81051,               0.000161,               0.000161,               0.000161
                     90,                 1.1159,                0.57584,                0.80234,                0.84359,                0.59338,                0.64729,                0.41585,                 1.0435,                 0.5422,                0.81013,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.0349,                0.60109,                 0.8041,                0.85879,                0.61772,                0.65803,                0.40911,                 1.0556,                0.55086,                0.81112,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.0232,                0.57837,                0.80395,                0.86327,                 0.6027,                0.66246,                0.42076,                  1.042,                0.54807,                0.80918,             0.00012387,             0.00012387,             0.00012387
                     93,                  1.009,                0.56447,                0.80367,                0.84211,                0.60818,                0.65937,                0.41546,                 1.0478,                0.55273,                0.80905,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.0343,                0.57731,                0.80112,                0.84194,                0.57779,                0.64113,                0.40221,                 1.0453,                0.54902,                0.80962,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.0325,                0.56106,                0.80384,                0.84379,                0.58407,                0.64331,                0.40053,                 1.0501,                0.54757,                0.81008,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.99857,                0.55406,                0.80659,                0.87758,                0.55743,                0.63766,                0.40059,                 1.0635,                0.55899,                0.81041,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.0077,                0.54691,                0.80246,                0.87136,                0.54374,                0.63266,                 0.4013,                 1.0641,                0.56052,                0.81123,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.97074,                0.53772,                0.80349,                0.88375,                0.55423,                0.63891,                0.40284,                 1.0638,                0.55177,                0.81123,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.0009,                0.54143,                0.79869,                0.87963,                0.57184,                0.64864,                0.40559,                 1.0584,                0.54613,                 0.8106,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.99801,                0.54024,                0.80552,                0.88261,                0.56612,                0.64776,                0.40517,                   1.06,                 0.5445,                0.81076,             2.4875e-05,             2.4875e-05,             2.4875e-05
